Raw Name,Cleaned Name
Abc Church,Akeman Street Baptist Church
Akeman Street Baptist Church (Abc Church),Akeman Street Baptist Church
Alehouse Academicals,Alehouse Academicals
Dacorum Ac,Dacorum AC
Leighton Fun Runners,Leighton Fun Runners
Metafit Mavericks,Metafit Mavericks
Not On The Run,Not On The Run
Per Ardua Ad Astra,Per Ardua Ad Astra
Premier,Premier Education
Premier Education,Premier Education
Tbd,TBD
The Barkers,The Barkers
Tring Rc,Tring RC
